2012	The Dark Knight Rises	actor	Gioacchino Jim Cuffaro	Prisoner
2012	The Dark Knight Rises	actor	Chris J. Cullen	Thug
2012	The Dark Knight Rises	actor	Ryan Cultrera	Fire Rises Chanter
2012	The Dark Knight Rises	actor	Graham Curry	Pentagon Navy Petty
2012	The Dark Knight Rises	actor	Michael Didriksson	Mercenary
2012	The Dark Knight Rises	actor	Stephanie Domini	Reporter
2012	The Dark Knight Rises	actor	Jedidiah Dore	Gotham City Police
2012	The Dark Knight Rises	actor	Jonathon Downs	Henchmen - Crane's Court Scene
2012	The Dark Knight Rises	actor	Ryan Drake	Extra
2012	The Dark Knight Rises	actor	Marvin Duerkholz	Logan
2012	The Dark Knight Rises	actor	Chris Dyer	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Aaron Eckhart	Harvey Dent
2012	The Dark Knight Rises	actor	R. Michael Egan	Punk
2012	The Dark Knight Rises	actor	Gray Ellis	SWAT
2012	The Dark Knight Rises	actor	Guy Evans	Chef
2012	The Dark Knight Rises	actor	Lalaine Fabi	Gothamite
2012	The Dark Knight Rises	actor	Jonn Faircrest	Board Member
2012	The Dark Knight Rises	actor	Mark Falvo	Football Fan
2012	The Dark Knight Rises	actor	Vincent Farr	Bane Mercenary
2012	The Dark Knight Rises	actor	Anthony Farraj	Prisoner / Mob
2012	The Dark Knight Rises	actor	Shawn P. Farrell	Thug / Mercenary
2012	The Dark Knight Rises	actor	John Farrer	Older Upscale Person
2012	The Dark Knight Rises	actor	James Farrior	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Louis Fasanaro	Gothamite
2012	The Dark Knight Rises	actor	Frank Fata	Prisoner / Thug
2012	The Dark Knight Rises	actor	Susan Feldbusch	Spectator / Fan
2012	The Dark Knight Rises	actor	Joe Fishel	Police Officer
2012	The Dark Knight Rises	actor	Luke Oscar Ford	Party Attendant
2012	The Dark Knight Rises	actor	Theodore John Forsi	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Justin Fortmeier	Gotham Rogues Supporter
2012	The Dark Knight Rises	actor	Matthew Freas	Extra
2012	The Dark Knight Rises	actor	Rishi Gandhi	Bane's Goon / Mercenary
2012	The Dark Knight Rises	actor	Anthony Garcia	Football Fan
2012	The Dark Knight Rises	actor	Lisa Garrett	Police Officer
2012	The Dark Knight Rises	actor	Gary Gibbs	Prisoner
2012	The Dark Knight Rises	actor	Sophia Gilberto	Young Woman
2012	The Dark Knight Rises	actor	Gregory Gillaspie	Gothamite
2012	The Dark Knight Rises	actor	Brent Godek	Tow Truck Driver
2012	The Dark Knight Rises	actor	Christopher Bryan Gomez	Stock Broker
2012	The Dark Knight Rises	actor	Jorge J. González	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Matthew Gooley	Football Fan
2012	The Dark Knight Rises	actor	Jason Gowin	Mercenary #3
2012	The Dark Knight Rises	actor	Rey Goyos	Gothan City SWAT
2012	The Dark Knight Rises	actor	Michael Grand	Police Officer
2012	The Dark Knight Rises	actor	Vito Grassi	Thug
2012	The Dark Knight Rises	actor	Ryan Green	Gotham City Rogues Fan
2012	The Dark Knight Rises	actor	Sly Green	Gotham Police Officer
2012	The Dark Knight Rises	actor	Michael Wren Gucciardo	Stockbroker in Snipers Scoop - Stock Exchange
2012	The Dark Knight Rises	actor	Kevin Gurnari	Mercenary Soldier
2012	The Dark Knight Rises	actor	Andrew Guzman	Thug
2012	The Dark Knight Rises	actor	Ryan Hafron	Football Player
2012	The Dark Knight Rises	actor	Casey Hampton	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Frank Hansen	S.W.A.T. Bridge Sniper
2012	The Dark Knight Rises	actor	Sam Harris	Prisoner
2012	The Dark Knight Rises	actor	Kayne L Harrison	Passenger
2012	The Dark Knight Rises	actor	Greg Hart	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Diogo Hausen	Thug
2012	The Dark Knight Rises	actor	Ed Heavey	Police Officer
2012	The Dark Knight Rises	actor	Wayne Heckler	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Quillian Hightower	Day Trader
2012	The Dark Knight Rises	actor	Pete Buzzsaw Holland	Prisoner
2012	The Dark Knight Rises	actor	Lauren Hopkins	Football Fan
2012	The Dark Knight Rises	actor	Vera Horton	Ballroom Guest
2012	The Dark Knight Rises	actor	John W. Iwanonkiw	Gotham Police Officer / Fan
2012	The Dark Knight Rises	actor	Sonny Izzo	Mercenary
2012	The Dark Knight Rises	actor	Michael Jeremiah	Bane's Henchman
2012	The Dark Knight Rises	actor	Curtis Jermaine	Mercenary
2012	The Dark Knight Rises	actor	Rayman Jilani	Waiter
2012	The Dark Knight Rises	actor	Edgar Jimz	Gotham State SWAT Team
2012	The Dark Knight Rises	actor	Stephen T. Johnson	Reporter
2012	The Dark Knight Rises	actor	Daniel Jordano	Boom Operator News Crew
2012	The Dark Knight Rises	actor	Jacob Kalafut	Businessman
2012	The Dark Knight Rises	actor	Joe Kane	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	William Kania	Gothamite
2012	The Dark Knight Rises	actor	James Kelley	James Kelley / Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Tiffany Kemp	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Bill Kennedy	Police Officer
2012	The Dark Knight Rises	actor	David Dustin Kenyon	Prisoner
2012	The Dark Knight Rises	actor	Andrea Kerry	Ball Guest
2012	The Dark Knight Rises	actor	Kim	Stock Broker
2012	The Dark Knight Rises	actor	Avanna King	Herself - Stock Broker
2012	The Dark Knight Rises	actor	Jesse King	Jimmy
2012	The Dark Knight Rises	actor	Hrvoje Klecz	Thug
2012	The Dark Knight Rises	actor	Sharyn Kmieciak	Gothamite
2012	The Dark Knight Rises	actor	Zackary Kresser	Mercenary
2012	The Dark Knight Rises	actor	Ilan Krigsfeld	Gotham Bridge Thug
2012	The Dark Knight Rises	actor	Alex Kruz	Wall Street Broker
2012	The Dark Knight Rises	actor	Ty Kunzelman	Orphan
2012	The Dark Knight Rises	actor	Tyler La Marr	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Shannon Lanier	Gotham Rogue Fan
2012	The Dark Knight Rises	actor	Joshua Lassman	GSE Pit Boss
2012	The Dark Knight Rises	actor	Robert Leckington	Mob / Thug
2012	The Dark Knight Rises	actor	Bryan Lee	Stock Broker
2012	The Dark Knight Rises	actor	Glenn Davis Lee	Cab Driver on Bridge
2012	The Dark Knight Rises	actor	LeJon	Thug
2012	The Dark Knight Rises	actor	Cynthia Leon De Mendoza-Hanna	Fan at Football Game
2012	The Dark Knight Rises	actor	Paul Jude Letersky	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Gus Lewis	Bruce Wayne - Age 8
2012	The Dark Knight Rises	actor	Joe Lipari	Prisoner
